Name,Pos,IP,SO,QS,W,SV,Hold,ERA,WHIP,Score,$
Sam Hentges*,RP,37.1,39,0.0,2,0,11.0,4.82,1.473,0.2405714285714286,2.11
Chasen Shreve*,RP,41.1,42,0.0,1,0,12.0,4.79,1.379,0.2385714285714285,2.09
Kenta Maeda,SP,74.2,88,5.0,3,0,0.0,4.22,1.165,0.23814285714285713,2.09
Jordan Lyles,SP,139.1,93,3.0,3,0,0.0,6.2,1.27,0.23785714285714285,2.09
Jimmy Cordero,RP,32.2,34,0.0,3,0,8.0,3.86,1.071,0.2369999999999999,2.08
Edward Cabrera,SP,77.0,93,3.0,5,0,0.0,4.79,1.468,0.23685714285714293,2.08
Jovani Moran*,RP,42.1,48,0.0,2,0,9.0,5.31,1.465,0.23485714285714282,2.06
Tommy Kahnle,RP,30.0,38,0.0,1,1,11.0,3.0,1.167,0.23442857142857143,2.06
Daniel Bard,RP,43.0,39,0.0,4,1,6.0,4.4,1.628,0.23399999999999996,2.05
Adrian Houser,SP,88.1,75,5.0,5,0,0.0,4.28,1.46,0.23042857142857145,2.02
Carl Edwards Jr.,RP,31.2,24,0.0,1,2,13.0,3.69,1.516,0.21628571428571433,1.9
Jacob Webb,RP,40.1,46,0.0,1,1,8.0,3.12,1.165,0.21242857142857144,1.86
Jake Irvin,SP,96.2,81,6.0,3,0,0.0,4.47,1.397,0.20757142857142855,1.82
Lucas Erceg,RP,38.1,49,0.0,3,0,7.0,6.57,1.826,0.20557142857142852,1.8
Tylor Megill,SP,91.0,74,3.0,7,0,0.0,5.54,1.725,0.20285714285714282,1.78
Hunter Greene,SP,76.1,104,5.0,2,0,0.0,4.72,1.467,0.19542857142857142,1.72
José Soriano,RP,30.0,42,0.0,0,0,12.0,3.0,1.367,0.18928571428571428,1.66
Luis García,RP,45.2,44,0.0,1,0,9.0,4.73,1.423,0.18085714285714286,1.59
Grayson Rodriguez,SP,87.0,91,4.0,3,0,0.0,5.38,1.425,0.18014285714285716,1.58
Nestor Cortes*,SP,63.1,67,3.0,5,0,0.0,4.97,1.247,0.1728571428571429,1.52
Paul Blackburn,SP,78.2,80,5.0,3,0,0.0,4.0,1.449,0.1568571428571428,1.38
Will Vest,RP,32.2,33,0.0,2,0,7.0,3.31,1.286,0.1504285714285714,1.32
Alex Vesia*,RP,35.2,51,0.0,0,1,7.0,5.3,1.542,0.12514285714285717,1.1
Garrett Whitlock,SP,58.2,57,3.0,5,0,0.0,5.52,1.295,0.12442857142857143,1.09
Aaron Loup*,RP,38.1,34,0.0,1,1,8.0,5.87,1.722,0.11271428571428567,0.99
Tim Hill*,RP,42.2,26,0.0,1,0,9.0,4.22,1.453,0.11142857142857142,0.98
Grant Anderson,RP,35.0,29,0.0,2,0,5.0,4.37,1.371,0.09142857142857144,0.8
Jose Hernandez*,RP,39.2,50,0.0,0,0,5.0,3.86,1.261,0.08971428571428572,0.79
Jake Diekman*,RP,43.1,46,0.0,0,0,7.0,4.36,1.546,0.08885714285714287,0.78
Tanner Houck,SP,72.2,66,3.0,3,0,0.0,5.08,1.266,0.08371428571428573,0.73
Louie Varland,SP,56.0,54,5.0,3,0,0.0,5.3,1.357,0.06928571428571428,0.61
Alek Manoah,SP,87.1,79,4.0,3,0,0.0,5.87,1.74,0.06600000000000003,0.58
Hayden Wesneski,SP,72.2,64,3.0,2,0,1.0,4.46,1.211,0.06228571428571428,0.55
Dustin May,SP,48.0,34,4.0,4,0,0.0,2.63,0.938,0.06085714285714287,0.53
Drew Rasmussen,SP,44.2,47,3.0,4,0,0.0,2.62,1.052,0.06028571428571429,0.53
Peter Lambert,SP,71.1,62,3.0,3,0,0.0,4.92,1.332,0.05714285714285715,0.5
Cristopher Sánchez*,SP,64.1,58,5.0,1,0,0.0,3.36,1.026,0.052714285714285714,0.46
Max Fried*,SP,47.2,45,3.0,4,0,0.0,2.83,1.196,0.03985714285714286,0.35
Roansy Contreras,SP,68.1,55,4.0,3,1,0.0,6.59,1.566,0.03642857142857144,0.32
Julio Teheran,SP,62.2,44,5.0,2,0,0.0,4.74,1.133,0.026285714285714294,0.23
Luis Severino,SP,74.1,63,4.0,3,0,0.0,7.26,1.749,0.01128571428571428,0.1
Alex Faedo,SP,51.1,45,4.0,2,0,0.0,4.91,0.974,0.011142857142857168,0.1
Carlos Carrasco,SP,88.1,65,3.0,3,0,0.0,6.42,1.653,0.0077142857142857525,0.07
Marco Gonzales*,SP,50.0,34,4.0,4,0,0.0,5.22,1.46,-0.0020000000000000018,-0.02
Bryan Woo,SP,59.0,63,3.0,1,0,0.0,4.58,1.22,-0.01928571428571427,-0.17
Daniel Lynch IV*,SP,52.1,34,4.0,3,0,0.0,4.64,1.261,-0.020571428571428556,-0.18
Jesse Scholtens,SP,65.0,46,3.0,1,1,1.0,4.15,1.323,-0.051428571428571414,-0.45
James Kaprielian,SP,61.0,57,3.0,2,0,0.0,6.34,1.59,-0.05185714285714286,-0.46
Cal Quantrill,SP,67.0,38,5.0,2,0,0.0,6.45,1.567,-0.062285714285714264,-0.55
Ronel Blanco,SP,50.0,51,3.0,2,0,0.0,4.68,1.5,-0.06228571428571428,-0.55
José Quintana*,SP,41.0,30,5.0,1,0,0.0,3.73,1.39,-0.11942857142857143,-1.05
Brandon Pfaadt,SP,61.2,55,3.0,0,0,0.0,6.13,1.411,-0.12185714285714284,-1.07
