Name,PrimaryPos,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,Score,$
Jeff McNeil*,2B,470,2.361,0.782,2.034,0.873,1.7,2.408,0.252,1.487142857142857,5.19
Edouard Julien*,2B,237,1.335,1.303,0.763,0.374,1.76,2.583,2.245,1.4804285714285714,5.17
Isiah Kiner-Falefa,OF,277,1.283,0.652,1.271,1.248,1.274,3.232,1.344,1.472,5.14
Luis Rengifo#,2B,344,1.796,1.434,1.678,0.624,2.064,1.358,1.339,1.4704285714285714,5.13
Matt Vierling,OF,368,1.488,0.782,1.017,0.624,1.456,3.643,1.28,1.47,5.13
Starling Marte,OF,315,1.334,0.522,0.915,2.995,0.667,3.067,0.712,1.4588571428571429,5.09
Robbie Grossman#,OF,286,1.745,0.913,1.424,0.0,1.82,2.583,1.668,1.4504285714285714,5.06
Ryan Jeffers,C,209,1.282,1.173,1.017,0.374,1.154,2.799,2.34,1.4484285714285714,5.06
Jake McCarthy*,OF,257,1.078,0.131,0.203,3.244,1.274,3.026,1.046,1.4288571428571426,4.99
Taylor Walls#,3B,242,1.539,0.912,0.763,2.495,1.881,1.132,1.253,1.425,4.97
Byron Buxton,DH,304,2.053,2.085,1.373,1.123,1.76,0.041,1.525,1.422857142857143,4.97
Jake Meyers,OF,286,1.437,1.043,1.119,0.624,1.274,2.686,1.713,1.413714285714286,4.94
Carlos Santana#,1B,345,1.539,1.173,2.035,0.749,2.306,0.741,1.353,1.4137142857142855,4.94
Corey Julks,OF,295,1.18,0.652,1.119,1.872,1.031,2.861,1.136,1.4072857142857143,4.91
Tyler Stephenson,C,384,2.206,1.173,1.78,0.0,2.246,1.76,0.635,1.4,4.89
Yan Gomes,C,291,1.539,1.043,1.882,0.125,0.547,2.83,1.817,1.3975714285714285,4.88
Ryan Noda*,1B,285,1.591,1.043,1.272,0.374,3.338,0.752,1.412,1.3974285714285715,4.88
Zach McKinstry*,3B,368,1.745,0.912,0.865,1.872,1.881,1.667,0.798,1.3914285714285715,4.86
Eloy Jiménez,DH,336,1.386,1.695,1.831,0.0,0.971,2.202,1.637,1.388857142857143,4.85
Mark Canha,OF,257,0.821,0.652,0.966,0.873,1.638,3.026,1.632,1.3725714285714286,4.79
Joc Pederson*,DH,270,1.847,1.434,1.424,0.0,2.307,1.132,1.358,1.3574285714285714,4.74
Ty France,1B,471,2.72,0.912,1.933,0.125,1.639,1.482,0.672,1.3547142857142858,4.73
Danny Jansen,C,253,1.334,1.825,2.136,0.0,0.789,1.348,2.042,1.3534285714285714,4.72
Mauricio Dubón,2B,390,2.515,0.782,1.322,0.749,0.607,2.429,1.005,1.344142857142857,4.69
Akil Baddoo*,OF,245,0.975,0.913,0.864,0.998,1.638,2.511,1.501,1.342857142857143,4.69
JJ Bleday*,OF,241,1.129,1.173,0.864,0.624,2.003,1.996,1.578,1.338142857142857,4.67
Alek Thomas*,OF,263,1.386,0.782,0.661,0.873,0.546,3.077,2.015,1.3342857142857143,4.66
Paul DeJong,SS,284,1.283,1.695,1.424,0.499,0.729,1.348,2.322,1.3285714285714285,4.64
Amed Rosario,SS,385,1.898,0.261,1.627,1.123,0.789,2.223,1.348,1.324142857142857,4.62
Jorge Mateo,SS,277,1.693,0.782,1.221,3.244,0.486,0.504,1.33,1.3228571428571427,4.62
José Caballero,2B,200,1.027,0.391,0.865,3.119,1.336,1.492,0.969,1.314142857142857,4.59
Connor Wong,C,298,2.103,0.913,1.17,0.624,0.729,2.038,1.546,1.3032857142857142,4.55
Edward Olivares,OF,284,1.283,0.652,0.508,1.123,0.667,3.046,1.84,1.3027142857142857,4.55
Gary Sánchez,C,204,1.18,1.955,1.627,0.0,0.85,1.286,2.209,1.301,4.54
Drew Waters#,OF,219,0.975,0.782,0.763,1.248,0.849,2.676,1.812,1.3007142857142857,4.54
Stuart Fairchild,OF,201,0.924,0.522,0.864,1.123,1.092,2.727,1.794,1.2922857142857145,4.51
Zack Gelof,2B,136,0.565,1.303,0.61,0.998,0.365,2.326,2.858,1.2892857142857144,4.5
Gary Sánchez,C,210,1.18,1.955,1.678,0.0,0.85,1.225,2.137,1.2892857142857144,4.5
Seth Brown*,OF,258,0.616,1.304,1.627,0.249,1.092,2.274,1.84,1.286,4.49
Myles Straw,OF,388,1.745,0.0,0.712,1.872,1.942,2.717,0.0,1.284,4.48
Aaron Hicks#,OF,203,1.129,0.782,0.763,0.374,1.335,2.882,1.713,1.2825714285714287,4.48
Jon Berti,SS,320,1.539,0.261,0.865,1.622,0.486,2.676,1.456,1.272142857142857,4.44
Luis García*,2B,378,1.694,0.782,1.78,0.998,0.911,2.017,0.694,1.2680000000000002,4.43
Alex Call,OF,341,1.437,0.782,1.271,1.123,2.488,1.461,0.306,1.266857142857143,4.42
Will Brennan*,OF,343,1.026,0.522,1.169,1.248,0.364,3.365,1.123,1.2595714285714286,4.4
Ryan O'Hearn*,1B,240,0.872,0.912,1.373,0.499,0.364,2.44,2.314,1.2534285714285716,4.38
Jake Bauers*,OF,209,0.667,1.304,0.813,0.374,1.214,2.213,2.187,1.2531428571428571,4.37
Alec Burleson*,OF,266,0.975,0.913,0.966,0.0,0.849,3.098,1.957,1.2511428571428573,4.37
Jake Cronenworth*,1B,455,2.001,0.912,1.78,0.749,2.367,0.258,0.614,1.2401428571428572,4.33
Aaron Hicks#,OF,134,0.667,0.652,0.508,0.374,0.91,3.334,2.214,1.237,4.32
Shea Langeliers,C,361,1.693,1.825,1.882,0.249,1.336,0.504,1.163,1.236,4.31
Jake Rogers,C,256,1.488,1.825,1.475,0.0,1.154,0.957,1.713,1.2302857142857142,4.29
Nick Senzel,3B,244,1.283,1.303,1.323,0.624,1.153,1.389,1.488,1.2232857142857143,4.27
Paul DeJong,SS,279,1.231,1.564,1.221,0.499,0.729,1.163,2.146,1.221857142857143,4.27
Blake Sabol*,C,268,1.334,1.304,1.475,0.249,0.789,1.986,1.398,1.219285714285714,4.26
Mike Moustakas*,1B,283,1.385,1.173,1.526,0.0,0.91,1.729,1.809,1.2188571428571429,4.25
Manuel Margot,OF,257,1.078,0.261,1.017,0.998,0.728,3.129,1.316,1.2181428571428572,4.25
Enrique Hernández,SS,378,1.796,0.913,1.933,0.374,1.154,1.173,1.168,1.2158571428571427,4.24
Charlie Blackmon*,DH,243,1.796,0.782,0.814,0.0,1.214,2.141,1.736,1.211857142857143,4.23
DJ LeMahieu,3B,376,1.334,1.173,0.967,0.0,2.245,1.667,1.05,1.205142857142857,4.21
Kris Bryant,OF,243,0.77,0.913,0.661,0.0,1.274,3.18,1.628,1.2037142857142857,4.2
Giancarlo Stanton,DH,279,1.283,2.346,1.627,0.0,1.457,0.072,1.592,1.1967142857142858,4.18
